ProbeID,1Uex,1Dex,3Uex,3Dex,7Uex,7Dex,1Uin,1Din,3Uin,3Din,7Uin,7Din
A_70_P000786,0,0,0,0,0,0,1,0,1,0,0,0
A_70_P000796,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000801,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000806,0,0,1,0,0,0,0,0,0,0,0,0
A_70_P000811,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000816,0,1,0,0,0,0,0,1,0,1,0,0
A_70_P000821,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000826,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000831,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P000836,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000841,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000846,1,0,0,0,0,0,0,0,0,1,0,1
A_70_P000851,0,0,0,0,0,0,0,0,0,1,0,1
A_70_P000856,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000861,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P000866,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000871,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000876,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000881,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000886,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000891,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000896,1,0,1,0,0,0,0,0,0,0,0,0
A_70_P000901,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000906,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P000911,0,1,0,0,0,0,0,1,0,1,0,0
A_70_P000916,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000921,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000926,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000931,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000936,1,0,1,0,1,0,0,0,0,0,0,0
A_70_P000941,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000946,0,0,0,0,0,0,0,0,1,0,0,0
A_70_P000951,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000956,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000961,0,0,0,1,0,0,0,0,0,0,0,0
A_70_P000966,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000971,1,0,0,0,0,0,0,0,0,0,0,1
A_70_P000976,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P000981,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000986,0,0,0,0,0,0,0,0,0,0,0,1
A_70_P000991,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000996,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P001001,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P001006,0,0,0,0,0,0,0,0,0,0,0,0
